sample_id,subject,task,repeat_id,label_task,task_difficulty,anchor_source,window_file,window_n,has_hr_inside,has_eye_timeseries,has_eye_aoi_metrics,nasa_tlx_weighted_task_label
subject_20_task_5_6_repeat_2,20,5_6,2.0,5_6_2,高,eye,window_features_10s_step10s/subject_20_task_5_6_repeat_2.csv,30,1,1,1,6.733333333333333
subject_21_task_3,21,3,,3,低,hr_first,window_features_10s_step10s/subject_21_task_3.csv,6,1,1,1,2.3333333333333335
subject_21_task_4,21,4,,4,中,eye,window_features_10s_step10s/subject_21_task_4.csv,73,1,1,1,3.6
subject_21_task_5_6,21,5_6,,5_6,高,eye,window_features_10s_step10s/subject_21_task_5_6.csv,96,1,1,1,7.133333333333334
subject_21_task_5,21,5,,5,低,eye,window_features_10s_step10s/subject_21_task_5.csv,31,1,1,1,2.6
subject_22_task_3,22,3,,3,低,eye,window_features_10s_step10s/subject_22_task_3.csv,23,1,1,1,2.2666666666666666
subject_22_task_4,22,4,,4,中,eye,window_features_10s_step10s/subject_22_task_4.csv,107,1,1,1,4.733333333333333
subject_22_task_5_6,22,5_6,,5_6,高,eye,window_features_10s_step10s/subject_22_task_5_6.csv,76,1,1,1,6.533333333333333
subject_22_task_5,22,5,,5,低,eye,window_features_10s_step10s/subject_22_task_5.csv,51,1,1,1,3.2666666666666666
subject_23_task_3,23,3,,3,低,eye,window_features_10s_step10s/subject_23_task_3.csv,37,1,1,1,2.4
subject_23_task_5_6_repeat_1,23,5_6,1.0,5_6_1,高,eye,window_features_10s_step10s/subject_23_task_5_6_repeat_1.csv,42,1,1,1,6.533333333333333
subject_23_task_5_6,23,5_6,,5_6,高,hr_first,window_features_10s_step10s/subject_23_task_5_6.csv,54,1,1,1,6.866666666666666
subject_23_task_5,23,5,,5,低,eye,window_features_10s_step10s/subject_23_task_5.csv,16,1,1,1,5.933333333333334
subject_24_task_3,24,3,,3,低,eye,window_features_10s_step10s/subject_24_task_3.csv,42,1,1,1,4.2
subject_24_task_4,24,4,,4,中,eye,window_features_10s_step10s/subject_24_task_4.csv,140,1,1,1,5.6
subject_24_task_5_6,24,5_6,,5_6,高,eye,window_features_10s_step10s/subject_24_task_5_6.csv,180,1,1,1,7.333333333333333
subject_25_task_3,25,3,,3,低,eye,window_features_10s_step10s/subject_25_task_3.csv,112,1,1,1,4.666666666666667
subject_25_task_4,25,4,,4,中,eye,window_features_10s_step10s/subject_25_task_4.csv,180,1,1,1,5.666666666666667
subject_25_task_5_6,25,5_6,,5_6,高,eye,window_features_10s_step10s/subject_25_task_5_6.csv,234,1,1,1,6.133333333333334
subject_26_task_3,26,3,,3,低,eye,window_features_10s_step10s/subject_26_task_3.csv,75,1,1,1,2.933333333333333
subject_26_task_4,26,4,,4,中,eye,window_features_10s_step10s/subject_26_task_4.csv,159,1,1,1,5.333333333333333
subject_26_task_5_6,26,5_6,,5_6,高,eye,window_features_10s_step10s/subject_26_task_5_6.csv,198,1,1,1,6.466666666666667
